ID;User_ID;Table_rank_2022;Person;net_worth_in_BillionUSD_2022;Age_of_person_2022;date_of_year
563;693;552;Dan Kurzius;5,00;50;2022
564;589;552;Ronald Lauder;5,00;78;2022
565;717;552;Marianne Liebmann;5,00;68;2022
566;695;552;Tobi Lutke;5,00;41;2022
567;496;552;Thomas Pritzker;5,00;71;2022
568;827;552;Scott Shleifer;5,00;44;2022
569;177;552;Autry Stephens;5,00;83;2022
570;664;552;Peter Thiel;5,00;54;2022
571;748;552;Tsai Cheng-ta;5,00;72;2022
572;599;552;Maximilian Viessmann;5,00;64;2022
573;524;552;Hansjoerg Wyss;5,00;87;2022
574;830;552;Xiao Yongming;5,00;57;2022
575;557;552;Zhang Tao;5,00;49;2022
576;445;552;Daniel Ziff;5,00;50;2022
577;446;552;Dirk Ziff;5,00;58;2022
578;447;552;Robert Ziff;5,00;55;2022
579;3254;579;Kapil Bhatia;4,90;64;2022
580;481;579;Mat Ishbia;4,90;42;2022
581;511;579;Robert Rich jr;4,90;81;2022
582;443;579;Thomas Schmidheiny;4,90;76;2022
583;538;579;Alexandra Schoerghuber;4,90;63;2022
584;997;579;Erik Selin;4,90;54;2022
585;639;579;Daniel Tsai;4,90;65;2022
586;528;586;Dona Bertarelli;4,80;54;2022
587;185;586;Andrei Guryev;4,80;62;2022
588;903;586;Luciano Hang;4,80;59;2022
589;905;586;Hu Baifan;4,80;59;2022
590;549;586;Bidzina Ivanishvili;4,80;66;2022
591;2644;586;Yeow Chor and Yeow Seng Lee;4,80;64;2022
592;817;586;Leng Youbin;4,80;53;2022
593;606;586;Theo Mueller;4,80;82;2022
594;2645;586;Julian Robertson jr;4,80;89;2022
595;609;586;Marc Rowan;4,80;59;2022
596;552;586;Emanuele Saputo;4,80;85;2022
597;660;586;Jeff Skoll;4,80;57;2022
598;641;586;Frank Wang;4,80;41;2022
599;798;586;Wang Junlin;4,80;59;2022
600;832;586;Yang Shaopeng;4,80;64;2022
601;571;601;Maria Fernanda Amorim;4,70;87;2022
602;775;601;Leonid Boguslavsky;4,70;70;2022
603;841;601;Richard Branson;4,70;71;2022
604;2646;601;Robert Brockman;4,70;80;2022
605;461;601;Pierre Chen;4,70;65;2022
606;2647;601;Chu Mang Yee;4,70;62;2022
607;670;601;Scott Cook;4,70;69;2022
608;583;601;Mark Cuban;4,70;63;2022
609;713;601;Guenther Fielmann;4,70;82;2022
610;530;601;Martin Haefner;4,70;68;2022
611;628;601;Johnelle Hunt;4,70;90;2022
612;588;601;Andre Koo Sr.;4,70;54;2022
613;450;601;Lai Meisong;4,70;51;2022
614;592;601;Richard Li;4,70;55;2022
615;620;601;Mangal Prabhat Lodha;4,70;66;2022
616;343;601;Igor Olenicoff;4,70;79;2022
617;553;601;Mark Shoen;4,70;71;2022
618;269;601;Andrei Skoch;4,70;56;2022
619;597;601;Fred Smith;4,70;77;2022
620;540;601;Murat Ulker;4,70;63;2022
621;570;601;Yu Yong;4,70;61;2022
622;614;622;Stephane Bancel;4,60;49;2022
623;377;622;Bubba Cathy;4,60;67;2022
624;378;622;Dan Cathy;4,60;69;2022
625;379;622;Trudy Cathy White;4,60;66;2022
626;573;622;Jason Chang;4,60;77;2022
627;545;622;Dagmar Dolby;4,60;80;2022
628;1097;622;Bruce Flatt;4,60;56;2022
629;2648;622;Masatoshi Ito;4,60;97;2022
630;151;622;Viatcheslav Kantor;4,60;68;2022
631;652;622;Min Kao;4,60;73;2022
632;988;622;Lin Xiucheng;4,60;66;2022
633;519;622;Sami Mnaymneh;4,60;60;2022
634;521;622;Tony Tamer;4,60;64;2022
635;477;622;Richard White;4,60;67;2022
636;2649;622;Baoguo Zhu;4,60;59;2022
637;558;637;Michael Ashley;4,50;57;2022
638;526;637;Ron Baron;4,50;78;2022
639;582;637;Bert Beveridge;4,50;60;2022
640;490;637;Todd Boehly;4,50;48;2022
641;383;637;David Bonderman;4,50;79;2022
642;2650;637;Guo Guangchang;4,50;55;2022
643;630;637;Daryl Katz;4,50;60;2022
644;2651;637;Ted Lerner;4,50;96;2022
645;1176;637;Falguni Nayar;4,50;59;2022
646;745;637;Trevor Rees-Jones;4,50;70;2022
647;852;637;J. Joe Ricketts;4,50;80;2022
648;455;637;Robert Rowling;4,50;68;2022
649;728;637;Mark Stevens;4,50;62;2022
650;1136;637;Gustav Magnar Witzoe;4,50;28;2022
651;2652;637;Xie Liangzhi;4,50;56;2022
652;1402;637;Yeung Kin-man;4,50;58;2022
653;325;637;Zhang Hejun;4,50;64;2022
654;665;654;Andrej Babis;4,40;67;2022
655;712;654;Giuseppe De Longhi;4,40;82;2022
656;736;654;Barry Diller;4,40;80;2022
657;619;654;Christian Haub;4,40;57;2022
658;756;654;Huang Li;4,40;58;2022
659;629;654;Marian Ilitch;4,40;89;2022
660;162;654;Suleiman Kerimov;4,40;56;2022
661;788;654;Edwin Leong;4,40;70;2022
662;1221;654;Lu Yiwen;4,40;35;2022
663;607;654;N.R. Narayana Murthy;4,40;75;2022
664;1282;654;Yang Jianliang;4,40;52;2022
665;646;665;Pyotr Aven;4,30;67;2022
666;1144;665;Joesley Batista;4,30;50;2022
667;1145;665;Wesley Batista;4,30;49;2022
668;615;665;Margot Birmingham Perot;4,30;88;2022
669;491;665;Rick Caruso;4,30;63;2022
670;543;665;Jim Davis;4,30;62;2022
671;813;665;Walter P.J. Droege;4,30;69;2022
672;466;665;Dan Friedkin;4,30;57;2022
673;507;665;Gao Dekang;4,30;70;2022
674;672;665;Antti Herlin;4,30;65;2022
675;714;665;W. Herbert Hunt;4,30;93;2022
676;759;665;Jason Jiang;4,30;49;2022
677;650;665;Rupert Johnson jr;4,30;81;2022
678;451;665;Vikram Lal;4,30;80;2022
679;1442;665;Lam Wai-ying;4,30;64;2022
680;1365;665;Chris Larsen;4,30;61;2022
681;770;665;Richard Schulze;4,30;81;2022
682;474;665;Paul Singer;4,30;77;2022
683;598;665;Barry Sternlicht;4,30;61;2022
684;1074;665;Su Hua;4,30;40;2022
685;500;665;Mark Walter;4,30;61;2022
686;514;665;Ty Warner;4,30;77;2022
687;438;687;Rinat Akhmetov;4,20;55;2022
688;2653;687;Martin and Olivier Bouygues;4,20;64;2022
689;560;687;Bernard Broermann;4,20;78;2022
690;710;687;Mong-Koo Chung;4,20;84;2022
691;806;687;Daniel DAniello;4,20;75;2022
692;2654;687;Traudl Engelhorn;4,20;95;2022
693;465;687;Piero Ferrari;4,20;76;2022
694;576;687;Carlo Fidani;4,20;67;2022
695;755;687;Yakir Gabay;4,20;55;2022
696;780;687;Jaime Gilinski Bacal;4,20;64;2022
697;942;687;Bertil Hult;4,20;81;2022
698;741;687;Martha Ingram;4,20;86;2022
699;2655;687;Lee Yin Yee;4,20;70;2022
700;818;687;Daniel Loeb;4,20;60;2022
701;536;687;Janice McNair;4,20;85;2022
702;993;687;Ajay Piramal;4,20;66;2022
703;661;687;Lynsi Snyder;4,20;39;2022
704;680;687;Peter Spuhler;4,20;62;2022
705;682;687;Kerry Stokes;4,20;81;2022
706;638;687;Jon Stryker;4,20;63;2022
707;926;687;Vincent Viola;4,20;66;2022
708;523;687;Romesh T. Wadhwani;4,20;74;2022
709;602;709;Juan Domingo Beckmann Legorreta;4,10;54;2022
710;617;709;Rafael Del Pino;4,10;63;2022
711;1207;709;Sergey Dmitriev;4,10;56;2022
712;902;709;Senapathy Gopalakrishnan;4,10;67;2022
713;467;709;James Irving;4,10;94;2022
714;906;709;Lee Boo-jin;4,10;51;2022
715;787;709;Samuel Tak Lee;4,10;82;2022
716;566;709;Thai Lee;4,10;63;2022
717;654;709;Eric Lefkofsky;4,10;52;2022
718;2656;709;Weiguo Li;4,10;57;2022
719;2657;709;Ermirio Pereira de Moraes;4,10;89;2022
720;2658;709;Maria Helena Moraes Scripilliti;4,10;91;2022
721;2659;709;Augusto and Giorgio Perfetti;4,10;64;2022
722;579;709;Thomas Secunda;4,10;67;2022
723;700;709;Shaul Shani;4,10;67;2022
724;659;709;E. Joe Shoen;4,10;72;2022
725;749;709;Steven Udvar-Hazy;4,10;76;2022
726;600;709;Russ Weiner;4,10;51;2022
727;2660;709;Guanjiang Wu;4,10;53;2022
728;2661;728;Anil Agarwal;4,00;68;2022
729;836;728;Somphote Ahunai;4,00;54;2022
730;479;728;Patrizio Bertelli;4,00;76;2022
731;739;728;Rakesh Gangwal;4,00;68;2022
732;1257;728;Paul Gauselmann;4,00;87;2022
733;1356;728;Hao Hong;4,00;66;2022
734;2015;728;He Xiaopeng;4,00;44;2022
735;413;728;Michael Herz;4,00;78;2022
736;414;728;Wolfgang Herz;4,00;71;2022
737;441;728;Arthur Irving;4,00;92;2022
738;2662;728;Victor Jacobsson;4,00;40;2022
739;653;728;Marc Ladreit de Lacharriere;4,00;81;2022
740;816;728;Patrick Lee;4,00;80;2022
741;1369;728;Max Lytvyn;4,00;42;2022
742;990;728;Gilles Martin;4,00;58;2022
743;267;728;Ramzi Musallam;4,00;53;2022
744;1030;728;Georg Nemetschek;4,00;88;2022
745;874;728;Akio Nitori;4,00;78;2022
746;765;728;Daniel Och;4,00;61;2022
747;568;728;Pankaj Patel;4,00;69;2022
748;992;728;John Paulson;4,00;66;2022
749;485;728;Miuccia Prada;4,00;72;2022
750;658;728;Jean Pritzker;4,00;59;2022
751;795;728;Juan Roig;4,00;72;2022
752;915;728;David Rubenstein;4,00;72;2022
753;769;728;Howard Schultz;4,00;68;2022
754;1384;728;Alex Shevchenko;4,00;42;2022
755;554;728;Dan Snyder;4,00;57;2022
756;702;728;Jerzy Starak;4,00;74;2022
757;925;728;Udo Tschira;4,00;64;2022
758;556;728;Kelcy Warren;4,00;66;2022
759;644;728;Herbert Wertheim;4,00;82;2022
760;2352;728;Cameron Winklevoss;4,00;40;2022
761;2353;728;Tyler Winklevoss;4,00;40;2022
762;525;728;Denise York;4,00;71;2022
763;1189;728;Zhao Lixin;4,00;56;2022
764;667;764;Hubert Burda;3,90;82;2022
765;735;764;Francesco Gaetano Caltagirone;3,90;79;2022
766;546;764;Marcos Galperin;3,90;64;2022
767;742;764;Li Xiang;3,90;40;2022
768;3029;764;Stephen Mandel Jr;3,90;66;2022
769;721;764;Gabe Newell;3,90;59;2022
770;991;764;Maja Oeri;3,90;67;2022
771;2663;764;Paolo and Gianfelice Mario Rocca;3,90;64;2022
772;2664;764;Neil Shen;3,90;54;2022
773;444;764;Helmut Sohmen;3,90;82;2022
774;681;764;Donald Sterling;3,90;87;2022
775;337;764;Don Vultaggio;3,90;70;2022
776;2665;764;Yiling Wu;3,90;72;2022
777;2666;764;Gongshan Zhu;3,90;64;2022
778;572;778;Gayle Benson;3,80;75;2022
779;975;778;William Conway jr;3,80;72;2022
780;935;778;Gurbachan Singh Dhingra;3,80;71;2022
781;936;778;Kuldip Singh Dhingra;3,80;74;2022
782;671;778;Luca Garavoglia;3,80;53;2022
783;689;778;Vinod Rai Gupta;3,80;64;2022
784;561;778;Jimmy Haslam;3,80;68;2022
785;982;778;Susan Carol Holland;3,80;65;2022
786;3389;778;Timur Kulibayev;3,80;55;2022
787;632;778;Dinara Kulibaeva;3,80;54;2022
788;534;778;Michel Leclercq;3,80;82;2022
789;872;778;Pablo Legorreta;3,80;58;2022
790;819;778;Margarita Louis-Dreyfus;3,80;59;2022
791;427;778;Michael Milken;3,80;75;2022
792;1117;778;Denis O  Brien;3,80;63;2022
793;954;778;Katharina Otto-Bernstein;3,80;58;2022
794;2667;778;James Packer;3,80;54;2022
795;475;778;Sergio Stevanato;3,80;79;2022
796;854;778;Leena Tewari;3,80;64;2022
797;771;778;Yitzhak Tshuva;3,80;73;2022
798;1336;778;Paul-Heinz Wesjohann;3,80;78;2022
799;800;778;Zeng Fangqin;3,80;56;2022
800;930;778;Zhou Bajin;3,80;86;2022
801;753;801;William Berkley;3,70;75;2022
802;669;801;John Catsimatidis;3,70;73;2022
803;2668;801;Che Jianxing;3,70;55;2022
804;2669;801;Gustavo Denegri;3,70;85;2022
805;938;801;Charles Edelstenne;3,70;84;2022
806;941;801;Reed Hastings;3,70;61;2022
807;845;801;Amos Hostetter jr;3,70;85;2022
808;757;801;Brad Jacobs;3,70;65;2022
809;985;801;Friedrich Knapp;3,70;70;2022
810;848;801;William Lauder;3,70;61;2022
811;761;801;Richard LeFrak;3,70;76;2022
812;1168;801;Li Guoqiang;3,70;58;2022
813;56;801;Low Tuck Kwong;3,70;73;2022
814;1064;801;Akira Mori;3,70;85;2022
815;767;801;Anthony Pritzker;3,70;61;2022
816;821;801;Ira Rennert;3,70;87;2022
817;3027;801;Bernard Saul II.;3,70;89;2022
818;2670;801;Shi Yonghong;3,70;53;2022
819;2671;801;Song Chi-hyung;3,70;43;2022
820;701;801;Steven Spielberg;3,70;75;2022
821;1079;801;Wong Luen Hei;3,70;60;2022
822;666;822;Danielle Bellon;3,60;82;2022
823;2672;822;Byju Raveendran and Divya Gokulnath;3,60;40;2022
824;931;822;Cho Tak Wong;3,60;75;2022
825;754;822;Charles Cohen;3,60;70;2022
826;711;822;Kenneth Dart;3,60;66;2022
827;937;822;Martin Ebner;3,60;76;2022
828;899;822;David Filo;3,60;55;2022
829;1098;822;Miguel Fluxa Rossello;3,60;83;2022
830;690;822;John Henry;3,60;72;2022
831;627;822;Hu Kaijun;3,60;60;2022
832;784;822;Peter Kellogg;3,60;79;2022
833;1585;822;James Leprino;3,60;84;2022
834;307;822;Iskander Makhmudov;3,60;58;2022
835;949;822;Daniel Mate;3,60;58;2022
836;911;822;Aristotelis Mistakidis;3,60;60;2022
837;679;822;Arturo Moreno;3,60;75;2022
838;2673;822;Nan Cunhui;3,60;58;2022
839;875;822;Julio Ponce Lerou;3,60;76;2022
840;794;822;J.B. Pritzker;3,60;57;2022
841;744;822;Chandru Raheja;3,60;81;2022
842;876;822;Rodger Riney;3,60;76;2022
843;2674;822;Shi Yuzhu;3,60;59;2022
844;580;822;Zuowen Song;3,60;75;2022
845;2675;822;Jerry Speyer;3,60;81;2022
846;1185;822;Julia Thiele-Schuerhoff;3,60;50;2022
847;797;822;Tung Chee Chen;3,60;79;2022
848;1240;822;Roger Wang;3,60;73;2022
849;927;822;Wu Shaoxun;3,60;66;2022
850;2676;822;Wenzhong Zhang;3,60;60;2022
851;894;851;Chen Kaixuan;3,50;63;2022
852;778;851;Beatriz Davila de Santo Domingo;3,50;83;2022
853;896;851;Antonio Del Valle Ruiz;3,50;83;2022
854;1156;851;Carl Douglas;3,50;60;2022
855;1157;851;Eric Douglas;3,50;53;2022
856;2677;851;Jiangtao Du;3,50;52;2022
857;625;851;Juan Carlos Escotet;3,50;62;2022
858;1158;851;Fiona Geminder;3,50;57;2022
859;2678;851;Yuhua Gu;3,50;72;2022
860;715;851;James Irsay;3,50;62;2022
861;944;851;Kuok Khoon Hong;3,50;72;2022
862;945;851;Aerin Lauder;3,50;51;2022
863;1023;851;Lee Seo-hyun;3,50;48;2022
864;1169;851;Li Yongxin;3,50;46;2022
865;2679;851;Jeffrey Lurie;3,50;70;2022
866;676;851;Mary Alice Dorrance Malone;3,50;72;2022
867;1028;851;Ronald McAulay;3,50;86;2022
868;2568;851;Apoorva Mehta;3,50;35;2022
869;873;851;Arnon Milchan;3,50;77;2022
870;791;851;Masahiro Noda;3,50;83;2022
871;1069;851;Maren Otto;3,50;64;2022
872;958;851;Renzo Rosso;3,50;66;2022
873;918;851;Lynn Schusterman;3,50;83;2022
874;880;851;Gil Shwed;3,50;53;2022
875;828;851;Thomas Siebel;3,50;69;2022
876;853;851;Herb Simon;3,50;87;2022
877;959;851;Friede Springer;3,50;79;2022
878;1335;851;Wang Zhenhua;3,50;60;2022
879;856;851;Hans Peter Wild;3,50;80;2022
880;1042;851;William Wrigley jr;3,50;58;2022
881;799;851;Xia Zuoquan;3,50;60;2022
882;886;851;Xue Hua;3,50;52;2022
883;861;883;Mohed Altrad;3,40;74;2022
884;685;883;Sid Bass;3,40;79;2022
885;668;883;Nick Caporella;3,40;86;2022
886;1200;883;Cheng Yixiao;3,40;38;2022
887;737;883;Wesley Edens;3,40;60;2022
888;624;883;Behdad Eghbali;3,40;45;2022
889;464;883;Archie Aldis Emmerson;3,40;92;2022
890;626;883;Jose E. Feliciano;3,40;48;2022
891;868;883;Fu Liquan;3,40;54;2022
892;2680;883;David Gottesman;3,40;95;2022
893;844;883;Laurence Graff;3,40;83;2022
894;940;883;Jeff T. Green;3,40;45;2022
895;760;883;Jim Kavanaugh;3,40;59;2022
896;847;883;Steven Klinsky;3,40;65;2022
897;849;883;John Middleton;3,40;67;2022
898;2681;883;Jerry Ng;3,40;56;2022
899;1522;883;Tengyun Nie;3,40;46;2022
900;1067;883;Nandan Nilekani;3,40;66;2022
901;851;883;Bob Parsons;3,40;71;2022
902;820;883;Prasert Prasarttong-Osoth;3,40;89;2022
903;2682;883;Qiu Guanghe;3,40;70;2022
904;1324;883;Richard Sands;3,40;71;2022
905;996;883;Robert Sands;3,40;63;2022
906;1530;883;T. Denny Sanford;3,40;86;2022
907;878;883;Naguib Sawiris;3,40;67;2022
908;261;883;Pavel Tykac;3,40;57;2022
909;885;883;Todd Wanek;3,40;58;2022
910;1078;883;Meg Whitman;3,40;65;2022
911;831;883;Michael Xie;3,40;53;2022
912;1080;883;Chenghai Ye;3,40;78;2022
913;2683;913;An Kang;3,30;73;2022
914;862;913;John Arnold;3,30;48;2022
915;892;913;Arun Bharat Ram;3,30;81;2022
916;559;913;Tomasz Biernacki;3,30;49;2022
917;1408;913;Travis Boersma;3,30;51;2022
918;972;913;Chan Tan Ching-fen;3,30;64;2022
919;2684;913;Dongsheng Chen;3,30;64;2022
920;976;913;Jean Coutu;3,30;94;2022
921;1419;913;Ralph Dommermuth;3,30;58;2022
922;866;913;Walter Faria;3,30;67;2022
923;779;913;Bob Gaglardi;3,30;81;2022
924;869;913;John Gandel;3,30;87;2022
925;1260;913;Xuande Hua;3,30;78;2022
926;508;913;Micky Jagtiani;3,30;70;2022
927;562;913;H. Fisk Johnson;3,30;63;2022
928;563;913;S. Curtis Johnson;3,30;66;2022
929;564;913;Helen Johnson-Leipold;3,30;65;2022
930;943;913;Miguel Krigsner;3,30;72;2022
931;1024;913;Li Jianquan;3,30;65;2022
932;987;913;Lin Ming-hsiung;3,30;72;2022
933;567;913;Winifred J. Marquart;3,30;62;2022
934;1454;913;Kiran Mazumdar-Shaw;3,30;69;2022
935;1116;913;Patrice Motsepe;3,30;60;2022
936;722;913;Alfred Oetker;3,30;55;2022
937;723;913;Carl Ferdinand Oetker;3,30;49;2022
938;724;913;Julia Oetker;3,30;43;2022
939;953;913;Or Wai Sheun;3,30;70;2022
940;636;913;Jay Paul;3,30;74;2022
941;766;913;Horst Paulmann;3,30;87;2022
942;957;913;Theodore Rachmat;3,30;78;2022
943;768;913;John Sall;3,30;74;2022
944;855;913;Stefan von Holtzbrinck;3,30;58;2022
945;730;913;Nusli Wadia;3,30;78;2022
946;928;913;Steve Wynn;3,30;80;2022
947;1283;913;Yang Weidong;3,30;53;2022
948;834;913;Barry Zekelman;3,30;55;2022
949;2685;913;Zhang Shilong;3,30;56;2022
950;1774;913;Zhong Ruonong;3,30;59;2022
951;1619;951;Cameron Adams;3,20;42;2022
952;2686;951;Dongchen Cai;3,20;69;2022
953;708;951;Vanich Chaiyawan;3,20;90;2022
954;1201;951;Andrew Cherng;3,20;64;2022
955;1011;951;James Clark;3,20;78;2022
956;1093;951;Jack Cowin;3,20;79;2022
957;805;951;Giuseppe Crippa;3,20;86;2022
958;901;951;Sergei Galitsky;3,20;54;2022
959;2687;951;Ernest Garcia  III;3,20;39;2022
960;870;951;Peter Gilgan;3,20;71;2022
961;740;951;Joseph Grendys;3,20;60;2022
962;649;951;Thomas Hagen;3,20;86;2022
963;3017;951;Robert Hale Jr;3,20;55;2022
964;904;951;Michael Hintze;3,20;68;2022
965;781;951;Pansy Ho;3,20;59;2022
966;782;951;Alan Howard;3,20;58;2022
967;1105;951;Kei Hoi Pang;3,20;56;2022
968;2688;951;Rudy Ma;3,20;81;2022
969;1062;951;Najib Mikati;3,20;66;2022
970;1063;951;Taha Mikati;3,20;77;2022
971;696;951;Gail Miller;3,20;78;2022
972;1032;951;Vikas Oberoi;3,20;51;2022
973;743;951;H. Ross Perot jr;3,20;63;2022
974;2689;951;Candido Pinheiro Koren de Lima;3,20;75;2022
975;1525;951;Matthew Prince;3,20;47;2022
976;956;951;Penny Pritzker;3,20;62;2022
977;746;951;Yasumitsu Shigeta;3,20;57;2022
978;2690;951;Sebastian Siemiatkowski;3,20;40;2022
979;2691;951;Barry Silbert;3,20;45;2022
980;1041;951;Daniel Sundheim;3,20;45;2022
981;960;951;Rita Tong Liu;3,20;73;2022
982;1681;951;Tran Dinh Long;3,20;61;2022
983;705;951;Zhang Daocai;3,20;72;2022
984;1010;984;John Caudwell;3,10;69;2022
985;2692;984;Philippe Foriel-Destezet;3,10;86;2022
986;867;984;Walter Frey;3,10;78;2022
987;843;984;Alessandra Garavoglia;3,10;62;2022
988;815;984;Peter Gassner;3,10;57;2022
989;1258;984;Mitchell Goldhar;3,10;60;2022
990;1018;984;Otto Happel;3,10;74;2022
991;1259;984;Peter Hargreaves;3,10;75;2022
992;1304;984;Bom Kim;3,10;43;2022
993;2693;984;Gaiteng Li;3,10;49;2022
994;2694;984;Liufa Li;3,10;64;2022
995;1171;984;Lu Weiding;3,10;51;2022
996;989;984;Harsh Mariwala;3,10;70;2022
997;909;984;Samir Mehta;3,10;58;2022
998;910;984;Sudhir Mehta;3,10;67;2022
999;2450;984;Pawan Munjal;3,10;68;2022
1000;2695;984;Nguyen Thi Phuong Thao;3,10;51;2022
1001;1071;984;Madhukar Parekh;3,10;75;2022
1002;955;984;Sergei Popov;3,10;50;2022
1003;1037;984;Haim Saban;3,10;77;2022
1004;1039;984;Karthik Sarma;3,10;47;2022
1005;917;984;Klaus-Peter Schulenberg;3,10;70;2022
1006;922;984;Pat Stryker;3,10;65;2022
1007;1233;984;Jeff Sutton;3,10;62;2022
1008;929;984;Jon Yarbrough;3,10;64;2022
1009;1003;984;Gang Ye;3,10;41;2022
1010;858;984;Yi Zheng;3,10;51;2022
1011;1541;984;Zhang Fan;3,10;56;2022
1012;835;1012;William Ackman;3,00;55;2022
1013;840;1012;Markus Blocher;3,00;51;2022
1014;616;1012;Neal Blue;3,00;87;2022
1015;969;1012;Eva Maria Bucher-Haefner;3,00;65;2022
1016;1891;1012;Chang Kuo-Hua;3,00;67;2022
1017;973;1012;Todd Christopher;3,00;59;2022
1018;1050;1012;Euisun Chung;3,00;51;2022
1019;1014;1012;Bernard Ecclestone;3,00;91;2022
1020;1015;1012;Michael Federmann;3,00;78;2022
1021;1019;1012;Gudrun Heine;3,00;67;2022
1022;2696;1012;Heidi Horten;3,00;81;2022
1023;2697;1012;Dawen Huang;3,00;61;2022
1024;946;1012;Sheldon Lavin;3,00;89;2022
1025;1514;1012;Li Min;3,00;56;2022
1026;1114;1012;Liang Yunchao;3,00;53;2022
1027;605;1012;Joseph Liemandt;3,00;53;2022
1028;1589;1012;Strive Masiyiwa;3,00;61;2022
1029;790;1012;Masahiro Miki;3,00;66;2022
1030;1266;1012;Pan Laican;3,00;64;2022
1031;1122;1012;Karsanbhai Patel;3,00;78;2022
1032;1035;1012;Arvind Poddar;3,00;64;2022
1033;824;1012;Remo Ruffini;3,00;60;2022
1034;2578;1012;Eddy Kusnadi Sariaatmadja;3,00;68;2022
1035;1040;1012;Sybill Storz;3,00;84;2022
1036;796;1012;Lawrence Stroll;3,00;62;2022
1037;2584;1012;Wijono Tanoko;3,00;64;2022
1038;1849;1012;Michael Tojner;3,00;56;2022
1039;1238;1012;Donald Trump;3,00;75;2022
1040;1277;1012;Tsai Ming-kai;3,00;71;2022
1041;2698;1012;John Tyson;3,00;68;2022
1042;704;1012;Rufino Vigil Gonzalez;3,00;73;2022
1043;1855;1012;Ning Wang;3,00;35;2022
1044;402;1012;Wang Yusuo;3,00;58;2022
1045;2699;1012;Zhigang Wu;3,00;87;2022
1046;1615;1012;Xie Juhua;3,00;71;2022
1047;1404;1012;Oren Zeev;3,00;57;2022
1048;860;1012;Charles Zegar;3,00;74;2022
1049;2700;1012;Zhang Lei;3,00;49;2022
1050;2096;1012;Zhang Xin;3,00;56;2022
1051;542;1012;Zhu Yan;3,00;64;2022
1052;1284;1012;Mortimer Zuckerman;3,00;84;2022
1053;1083;1053;Juan Abello;2,90;80;2022
1054;1285;1053;John Armitage;2,90;62;2022
1055;1701;1053;Bang Si-hyuk;2,90;49;2022
1056;1147;1053;Miriam Baumann-Blocher;2,90;47;2022
1057;1195;1053;Riley Bechtel;2,90;70;2022
1058;1494;1053;Wilhelm Beier;2,90;65;2022
1059;966;1053;Nicolas Berggruen;2,90;60;2022
1060;2701;1053;Bui Thanh Nhon;2,90;64;2022
1061;1009;1053;Cao Longxiang;2,90;64;2022
1062;934;1053;Deng Wen;2,90;54;2022
1063;1796;1053;Daniel Dines;2,90;50;2022
1064;1208;1053;Joseph Edelman;2,90;66;2022
1065;1095;1053;N. Murray Edwards;2,90;62;2022
1066;1431;1053;Jane Goldman;2,90;66;2022
1067;1572;1053;Guo Zhenyu;2,90;58;2022
1068;1159;1053;Stewart Horejsi;2,90;84;2022
1069;1161;1053;Zhenda Huang;2,90;74;2022
1070;674;1053;Jeremy Jacobs Sr;2,90;82;2022
1071;2702;1053;Hamilton James;2,90;70;2022
1072;1647;1053;Valentin Kipyatkov;2,90;45;2022
1073;1113;1053;Li Zhongchu;2,90;58;2022
1074;1027;1053;Martin Lorentzon;2,90;53;2022
1075;1061;1053;Drayton McLane jr;2,90;85;2022
1076;1068;1053;Benjamin Otto;2,90;64;2022
1077;913;1053;Roger Penske;2,90;85;2022
1078;1669;1053;Olivier Pomel;2,90;45;2022
1079;473;1053;Jean Salata;2,90;56;2022
1080;1273;1053;Arnout Schuijff;2,90;54;2022
1081;2703;1053;Shen Hua;2,90;59;2022
1082;999;1053;Martua Sitorus;2,90;62;2022
1083;3043;1053;Zygmunt Solorz;2,90;65;2022
1084;921;1053;Warren Stephens;2,90;65;2022
1085;1392;1053;Tang Jinkui;2,90;66;2022
1086;1682;1053;Alan Trefler;2,90;66;2022
1087;1609;1053;Masateru Uno;2,90;75;2022
1088;962;1053;Frank VanderSloot;2,90;73;2022
1089;1138;1053;Guangming Wu;2,90;60;2022
1090;1400;1053;Kai Wu;2,90;54;2022
1091;1869;1053;Ye Fan;2,90;51;2022
1092;963;1053;Yoo Jung-hyun;2,90;52;2022
1093;2704;1053;Fenggang Zhao;2,90;56;2022
1094;1773;1053;Zheng Xiaodong;2,90;58;2022
1095;1044;1053;Zhou Jianping;2,90;61;2022
1096;1082;1096;Jose Joao Abdalla Filho;2,80;76;2022
1097;1245;1096;Brian Acton;2,80;50;2022
1098;1192;1096;Bill Alfond;2,80;73;2022
1099;1193;1096;Susan Alfond;2,80;76;2022
1100;1194;1096;Ted Alfond;2,80;77;2022
1101;1141;1096;Felix Baker;2,80;53;2022
1102;1142;1096;Julian Baker;2,80;55;2022
1103;888;1096;Karen Virginia Beckmann Legoretta;2,80;52;2022
1104;803;1096;Maurizio Billi;2,80;64;2022
1105;1249;1096;Otto Philipp Braun;2,80;44;2022
1106;1047;1096;Garrett Camp;2,80;43;2022
1107;1413;1096;Cao Ji;2,80;70;2022
1108;2705;1096;Hua Chen;2,80;56;2022
1109;1013;1096;John Paul DeJoria;2,80;77;2022
1110;1417;1096;Beda Diethelm;2,80;81;2022
1111;1294;1096;K. Dinesh;2,80;67;2022
1112;1565;1096;Dong Fan;2,80;52;2022
1113;865;1096;Bennett Dorrance;2,80;76;2022
1114;1252;1096;Marcel Erni;2,80;57;2022
1115;1096;1096;Abhay Firodia;2,80;77;2022
